Nr DIEx DA MISSÃO	EVENTO OU MISSÃO	PRAZO	DIAS PARA O EVENTO	MILITAR RESPONSÁVEL	SITUAÇÃO	CLASSE	DATA DA ÚLTIMA ATUALIZAÇÃO COM O E-4	ANOTAÇÕES	Nr DIEx ENCAMINHAMENTO PARA OMDS	Nr DIEx PARA O ESC SUPERIOR
855-E4/2ª DE	Remanejamento de espingardas calibre 12 (ratificação/ retificação) 	9 mar.	-129	ST Richardson	RESOLVIDO	Cl V		1. Documento ratificado. 10 5º BI Amv, 5 do 20 GAC e 5 do 6 BI Amv 	1822-E-4/EMG/Cmdo Bda Inf Amv	-
714-FISC/DA/BASE ADM	Solicitação de indenização de transporte de bagagem na mesma Sede (3° Sgt Eliza) - 20ºGAC Amv	9 mar.	-129	Maj Filipe	RESOLVIDO	Orçamentário		1. Confeccionado Doc ao Esc Sp	-	1801-E-4/EMG/Cmdo Bda Inf Amv
836-FISC/DA/BASE ADM	Solicitação de indenização de transporte de bagagem na mesma Sede (2° Ten Fenólio) -20º GAC Amv	9 mar.	-129	Maj Filipe	RESOLVIDO	Orçamentário		1. Confeccionado Doc ao Esc Sp	-	2076-E-4/EMG/Cmdo Bda Inf Amv
 1770-E-4/EMG/Cmdo Bda Inf Amv	créditos para manutenção de viaturas deste Cmdo	9 mar.	-129	ST Valter	RESOLVIDO	Mnt		1. Confeccionado Doc à Cia Cmdo para preparar Proc Adm para Sol recursos Mnt Vtr	-	2182-E-4/EMG/Cmdo Bda Inf Amv
851-E4/2ª DE	Manutenção de cozinha ARPA	10 mar.	-128	ST Valter	RESOLVIDO	Mnt		"1. AGSP Rlz Mnt cozinha Arpa
2. necessidade de manutenção nas cozinhas ARPA, identificando a OM, a quantidade e os problemas apresentados
- 6º BI Amv - OK"	1727-E-4/EMG/Cmdo Bda Inf Amv	" 1898-E-4/EMG/Cmdo Bda Inf Amv

1590-E4/2ª DE (recolhimento)"
 567-E4/2ª DE	 remessa de Insígnias, Laços Militares e Estandartes Históricos (COMPLEMENTO eorientações)	10 mar.	-128	Ten Glauco	RESOLVIDO	-		"DIEx resposta elaborado faltando apenas o E4 realizar a análise final para despacho. PRAZO CURTO PARA PROVIDÊNCIAS DAS OMDS.

- 1241-E-4/EMG/Cmdo Bda Inf Amv
- 561-E-3/EMG/Cmdo Bda Inf Amv

OM com pendências (Ch EM ciente):
Cmdo Bda Inf Amv - 2ª Cia Prec - 20º GAC Amv"	-	"DIEx nº 2412-E-4/EMG/Cmdo Bda Inf Amv
 (pendências Cmdo Bda Inf Amv, 20º GAC Amv, e a 2ª Cia Prec) - Ch EM ciente"
108-SFPC/Cmdo Bda Inf Amv/Bda Inf Amv	Licenciamento de viaturas oficiais	10 mar.	-128	ST Valter	ACOMPANHAR	Patrimônio		1. Sol licenciamento ano 2026, das Viaturas da SFPC do Cmdo da Bda Inf Amv	135-E-4/EMG/Cmdo Bda Inf Amv	-
150-S3/Pel Cmd /12ª Cia E Cmb Amv	Participação na Expo Segurança no Shopping Pátio Pinda	11 mar.	-127	Ten Glauco	RESOLVIDO	MEM		"1. Não haverá exposição de Armt
2. Confeccionar Doc à 2ª DE Sol autorização para participar da exposição - OK "	2115-E-4/EMG/Cmdo Bda Inf Amv 	1912-E-4/EMG/Cmdo Bda Inf Amv
2308-CIOU	solicitação de cautela de Óculos de Visão Noturna (OVN) do 5° BI Amv - CIOU	11 mar.	-127	Ten Glauco	RESOLVIDO	Cl V		"1. Doc confeccionado para o 5º BI Amv, questionando se a OM possui os 25 OVN e quais os impactos para emprestar (Op 3 Luas, ETTR Pel)
2. Após resposta, confeccionar Doc ao ChEM 11 Bda"	-	2054-E-4/EMG/Cmdo Bda Inf Amv
210-S/4/CMDO	apoio com ônibus para transporte da banda - SOLICITA	11 mar.	-127	ST Valter	RESOLVIDO	Trnp		"1. O 1º Esqd C Ambv Sol Ap ao 5º BI Amv, porém no texto diz que o Ap era do 6º BI Amv.
2. CANCELADO a missão pelo Cmt 2ª DE."	-	-
 918-E4/2ª DE	Classe V - Obuseiro Oto Melara 105 mm para ser recolhido ao AGSP	11 mar.	-127	ST Valter	RESOLVIDO	Mnt		"1. Verificar resposta do 20º GAC
2. O GAC respondeu que possui a necessidade do envio de 06 Peças de Obuseiros 105 mm ao AGSP"	-	 826-S4/EM/20º GAC Amv 
900-E4/2ª DE	Classe III - levantamento da necessidade de combustível para translado de pacientes	11 mar.	-127	ST Richardson	RESOLVIDO	Cl III - Comb		1. informar a necessidadeestimada de combustível para translado de pacientes ao HMASP, para o 2º Trimestre/ 2026 	1729-E-4/EMG/Cmdo Bda Inf Amv	1925-E-4/EMG/Cmdo Bda Inf Amv
1585-E-4/EMG/Cmdo Bda Inf Amv	MOBGOV - App de Trnp	11 mar.	-127	ST Valter	RESOLVIDO	Trnp		"1. Verificar com a 11ª Bda Inf Mec e E4/DE
2. Confeccionado Doc às OMDS do Forte
3. Confeccionar novo Doc em complemento com Info sobre média mensal Qtd Dslc, Km mensal e Qts Km por Dslc
- 6º BI Amv - OK
- Cia Cmdo - OK
- 2ª Cia Prec - OK
- 12ª Cia Com - OK

- Confeccionado Doc à Base Adm"	 1585-E-4/EMG/Cmdo Bda Inf Amv	134-E-4/EMG/Cmdo Bda Inf Amv
172-4ª Sec/5ª Bia AAAe AMV	Cl V (A) - Mapa de Situação de Material AAAe - FEV/26 - 5ª Bia AAAe Amv	11 mar.	-127	ST Richardson	RESOLVIDO	Cl V		1. A Bia AAAe possui Misseis IGLA em Proc Desfazimento e 1 Radar M60 Dspn	-	-
666-E4/2ª DE	levantamento e orientações quanto ao recolhimento de materiais balísticos	12 mar.	-126	Cap Luis Augusto	RESOLVIDO	Desfazimento		"1. Doc encaminhado às OMDS - 
2. Necessita ser respondido pela 2ª Seção"	"1492-E-4/EMG/Cmdo Bda Inf Amv

3153-E-4/EMG/Cmdo Bda Inf Amv

4359-E-4/EMG/Cmdo Bda Inf Amv"	"2038-E-4/EMG/Cmdo Bda Inf Amv

1511-E4/2ª DE"
" 4441-Escalão Logístico/2ªRM

4686-Escalão Logístico/2ªRM"	distribuição suprimento Cl V (Mun)	12 mar.	-126	ST Richardson	RESOLVIDO	Cl V		" Solicito, ainda, às OM de apoio ( 2ª Cia Trnp, B AvT, 2º B Log e 22º B Log) informarem até 12 MAR 26, as necessidades de combustível para o cumprimento das Missões de Transporte. 
2. Estimar em 400 L OD para executar a missão
3. Confeccionado Doc Resposta"	"1921-E-4/EMG/Cmdo Bda Inf Amv
"	2186-E-4/EMG/Cmdo Bda Inf Amv
761-E4/2ª DE	classe I - padronização de solicitações de recursos da Reserva Regional - Circular	12 mar.	-126	Maj Filipe	RESOLVIDO	Cl I		"1. Confeccionado Doc às OMDS 
2. DIEx confeccionado errado - destinatário foi de volta para 2ª DE - retificado"	1921-E-4/EMG/Cmdo Bda Inf Amv	2018-E-4/EMG/Cmdo Bda Inf Amv
250-COTrnp/2ª Cia Trnp	eixo mensal de suprimento Cl I (MAR/ 26)	12 mar.	-126	Maj Filipe	RESOLVIDO	Cl I		1. Confeccionar Doc às OMDS	2077-E-4/EMG/Cmdo Bda Inf Amv	-
590-S4/6° BI Amv	doação de material pela AMAN (Resposta)	12 mar.	-126	Ten Glauco	RESOLVIDO	Patrimônio		Material da AMAN não estava em excelentes condições. O que estava em melhores condições de uso o 6º BI Amv garimpou e levou. Solução para as demais OMDS, caso precisem de material classe II, verificar se o 6º BI Amv terá condições de fazer empréstimo do material. 	-	-
"448-Escalão Logístico/2ªRM

4712-E4/2ª DE"	IA2Ex	13 mar.	-125	ST Valter	RESOLVIDO	Cl V		"Confeccionar Doc com prazo de resposta do dia 20 Mar
1. Encaminhado novo DIEx"	-	2471-E-4/EMG/Cmdo Bda Inf Amv
942-E4/2ª DE	remessa da pauta de assuntos a serem abordados na Visita de Orientação Técnica(VOT) do Diretor de Material de Engenharia na área do CMSE (encaminhamento)	13 mar.	-125	Maj Filipe	RESOLVIDO	Cl VI		1. Confeccionar Doc à 12ª Cia Eng	1923-E-4/EMG/Cmdo Bda Inf Amv	-
1057-E4/2ª DE	documentação para recolhimento de armamentos	13 mar.	-125	Maj Filipe	RESOLVIDO	Mnt		1. Confeccionado Doc às OMDS	2090-E-4/EMG/Cmdo Bda Inf Amv	-
422-E4/2ª DE	Classe V - munição - calendário de obrigações	13 mar.	-125	ST Richardson	RESOLVIDO	Cl V		"1. Confeccionar Doc às OMDS, aguardando resposta 
5ª Bia AAAe Amv OK"	2677-E-4/EMG/Cmdo Bda Inf Amv	3583-E-4/EMG/Cmdo Bda Inf Amv
992-E4/2ª DE	Classe IX - levantamento da situação e necessidade de viaturas - 1° Esqd Cav Amv	13 mar.	-125	ST Valter	Missão Cmt Bda	Cl IX		"1. Doc encmainhado também ao 1º Esqd C Amv
2. Verificar a resposta com o Esqd
3. Verificar o E daí com a 2ª DE"	-	 299-S/4/CMDO
458-COL/22º B Log Amv	Solicitação de óleo lubrificante 5W-30 Diesel.	13 mar.	-125	ST Richardson	Missão Cmt Bda	Cl III - Comb		"1. Confeccionado Doc à 2ª RM
2. Resposta: no presente momento, esta RM não possui estoque no OP do suprimento solicitado

3. ocorreu a descentralização de recursos para atendimento denecessidades priorizadas por essa Bda e que o pleito em questão entrou em estudo para que, aoreceber novos créditos, seja realizado o repasse.

4. Verificar se no leilão será SOl"	 2041-E-4/EMG/Cmdo Bda Inf Amv	 5233-Escalão Logístico/2ªRM
345-CF Cond/4ª Seç Btl/22º B Log Amv	Informações sobre o o Curso de Formação de Condutores - 023 (SOLICITA)	13 mar.	-125	ST Valter	ACOMPANHAR	Cl IX		"1.Sol R$ 8.400,00 (oito mil e quatrocentos reais).
2. Verificar a ND
3. Verificar para quem deve ser Sol esse recurso - DGO"		
980-E4/2ª DE	Classe II - Solicitação de homologação de descarga (RESTITUIÇÃO ao 20º GAC Amv	13 mar.	-125	Cap Luis Augusto	ACOMPANHAR	Desfazimento		"1. Foi encaminhado ao 20 GAC
Solicito que o processo seja refeito, com a devida correção da pendência mencionada, e posteriormente reencaminhado à 2ª RM, com cópia para este G Cmdo Op."		
150-S3/Pel Cmd /12ª Cia E Cmb Amv	Participação na Expo Segurança no Shopping Pátio Pinda	16 mar.	-122	Ten Glauco	RESOLVIDO	MEM		"1. Não haverá exposição de Armt
2. Confeccionar Doc à 2ª DE Sol autorização para participar da exposição - OK - 1912-E-4/EMG/Cmdo Bda Inf Amv
3. 2ª DE deu o parecer favorável - DIEx nº 1058-E4/2ª DE
4. Confeccionar documento para a 12ª Cia Eng"	2115-E-4/EMG/Cmdo Bda Inf Amv 	1912-E-4/EMG/Cmdo Bda Inf Amv
293-COL/22º B Log Am	Ordem de Operações e Cronograma da Inspeção Técnica e Apoio Direto - 2026	16 mar.	-122	ST Valter	RESOLVIDO	Mnt		- Ap Dto 22º B Log Amv ao Forte IPIRANGA	-	-
962-E4/2ª DE	recurso para manutenção/ montagem de armários	16 mar.	-122	ST Valter	RESOLVIDO	Orçamentário		"1. Confeccionado Doc às OMDS 
2. Doc respondido à 2ª DE"	 2074-E-4/EMG/Cmdo Bda Inf Amv	2319-E-4/EMG/Cmdo Bda Inf Amv
493-E3/E5/2ª DE	Cl VI - Estágios Setoriais sobre Manutenção de Material de Engenharia no Centro de Instrução de Engenharia/2º Batalhão Ferroviário (CI Eng/2º B Fv)/2026	16 mar.	-122	ST Valter	RESOLVIDO	Mnt		"- Início do EAD Estágio de Manutenção de Geradores (EMGE):
- AGSP e 2º BE Cmb foram contemplados no CMSE"	-	1157-E-4/EMG/Cmdo Bda Inf Amv
969-E4/2ª DE	Necessidade de recursos para pintura de OM	16 mar.	-122	-	RESOLVIDO	Orçamentário		"1. Possibilidade de informar, até 18 MAR 26, a necessidade de recursos financeiros, por OM e ND, para pintura de instalações dosaquartelamentos.
2. Confeccionar Doc às OMDS - 
3. Este documento é de interesse da Infraestrutura - Verificar se foi respondido à 2ª DE"	1955-E-4/EMG/Cmdo Bda Inf Amv	-
1008-E10/2ª DE	exercício de adestramento da Bda Inf Amv em ambiente com características especiais	16 mar.	-122	Ten Glauco	RESOLVIDO	PREPARO F TER		"1. Adst da Brigada de Infantaria Aeromóvel (Bda Inf Amv) em ambiente de selva, no corrente ano, em decorrência da priorização de outros exercícios de adestramento, foi limitada ao valor de R$ 300.000,00 (2º Reconhecimento e Exercício de Campanha).

2. O P Trab está com a 5ª Seç - confirmado"	-	-
2006-E-4/EMG/Cmdo Bda Inf Amv	manutenção de cozinha operacional	16 mar.	-122	ST Valter	RESOLVIDO	Mnt		"1. Verificar Qtd de cozinhas ECD de serem utilizadas no forte.
2. COnfeccionar OI para preparar uma refeição no forte
3. Será preparada no dia 1º e dia 6 de Abr"	2428-E-4/EMG/Cmdo Bda Inf Amv	-
2608-Div Ens CIOU/CIOU	solicitação de apoio de alojamento no 5° B I Amv - CIOU	16 mar.	-122	ST Valter	RESOLVIDO	VISITAS		1. Confirmar com o 5º BI Amv a Poss Ap - Ok	-	-
"399-COL/22º B Log Amv

401-COL/22º B Log Amv"	Proposta de distribuição de ferramental recebido em Leilão da 2ªRM 	16 mar.	-122	ST Valter	RESOLVIDO	MEM		1. Confeccionado Doc Distr Ferramental às OMDS	1800-E-4/EMG/Cmdo Bda Inf Amv	-
325-PMGu/SCmt/Cmt 2º BI AMV	solicitação de viatura ambulância	16 mar.	-122	Maj Filipe	RESOLVIDO	Cl IX		"1. A OM está Sol Vtr Ambulância.
2. O pedido deve ser encaminhado à D Sau, pois será uma Vtr Adm
3. ODF 0137 - já recebido pelo 2º BI Amv"	-	2111-E-4/EMG/Cmdo Bda Inf Amv
"466-COL/22º B Log Amv

529-Fisc Adm/22º B Log Amv"	Solicitação de recursos para manutenção de 2 contêineres de 40 pés.	16 mar.	-122	ST Valter	Missão Cmt Bda	Orçamentário		"1. disponibilização de recursos financeiros suficientes para cobertura de materiais de reparo,pintura e demais insumos necessários, conforme planilha remetida em anexo, totalizando umvalor de R$ 27.189,22 na ND 30.

2. Necessário saber para quem pedir o recurso - DGO"	-	"2598-E-4/EMG/Cmdo Bda Inf Amv

3201-E-4/EMG/Cmdo Bda Inf Amv"
 2167-E-4/EMG/Cmdo Bda Inf Amv	Solicitação de aquisição de motocicletas para a Bda Inf Amv	16 mar.	-122	ST Valter	Missão Cmt Bda	Cl IX		"1. Sol 25 (vinte e cinco) motocicletas para a Bda Inf Amv
2. A Bda recebeu 12 motocicletas solicitadas no ano passado - Rlz redistribuição -  12350-Escalão Logístico/2ªRM
3. 5772-E-4/EMG/Cmdo Bda Inf Amv - Sol redistribuição das motos"	-	" 12350-Escalão Logístico/2ªRM

5772-E-4/EMG/Cmdo Bda Inf Amv

13130-Escalão Logístico/2ªRM"
 22-EM	DMA 2026 - 2ª Companhia de Precursores	16 mar.	-122	ST Richardson	ACOMPANHAR	Cl V		1. Verificar com a 2ª Cia Prec qual a DMA 2026 deles		
455-COL/22º B Log Amv	Participação de militares em capacitação em pintura de Vtr Marruá	17 mar.	-121	ST Valter	RESOLVIDO	Mnt		"capacitação na área de pintura de viaturas
1. Pintura de Vtr do 1º Esqd C Amv e 20º GAC Amv"	-	-
730-S4/5º BIL	solicitação de repelentes para uniforme ao LQFEx	17 mar.	-121	ST Richardson	RESOLVIDO	Cl VIII - Sau		"1. Sol em Doc o Kit repelente
2. Pedido atendido conforme  6238-Escalão Logístico/2ªRM
3. 5º BI Amv terá que buscar Material no RJ - Concluído"	3154-E-4/EMG/Cmdo Bda Inf Amv	2647-E-4/EMG/Cmdo Bda Inf Amv
1064-E4/2ª DE	reunião com Comandante da Artilharia Divisionária da 5ª Divisão de Exército (AD/5)	17 mar.	-121	Maj Filipe	RESOLVIDO	PREPARO F TER		"Informo que em 17 MAR 26, das 09h30 às 11h, haverá uma reunião no QGI do CMSE com
o Comandante da AD/5, sobre padronização do uso de morteiros, com presença obrigatória dos
seguintes militares: E4/ 11ª Bda Inf Mec, E4/ Bda Inf Amv, Cmt Bia Mrt GAC, CLF Bia Mrt  GAC, Cmt Pel Mrt do 13º RC Mec, 4º BI Mec, 28 º BI Mec e 37º BI Mec (por VC).

- Ap P M34 em recolhimento para Desfazimento
- Estágio para Mnt Mrt
- Rlz visita ao AGR
- Possibilidade do AGR Rlz visita técnica no B Log
- Resumo informativo nº 7/2025: Luneta M2 ARES tem que ser retirada por problemas nos tiros - problema com suporte de folga (SAPON - suporte do aparelho de pontaria)
- Problemas verificados na Setembrino
- Aparelho de pontaria M34, SPOTIM M2 e SPOTIM M2A1 (única ativa)
- Não pode misturar luneta de pontaria!!!
- Não pode na mesma linha de Mrt aparelho de pontaria distinto e folga no aparelho de pontaria e suporte
- Tudo o que é feito na peça Mrt deve ser registrado "	2152-E-4/EMG/Cmdo Bda Inf Amv	-
923-S4/EM/20º GAC Amv	Remanejamento de Espingardas Calibre 12 - solicitação	17 mar.	-121	ST Richardson	RESOLVIDO	Cl V		"1. Referência ao DIEx nº 1822-E-4/EMG/Cmdo Bda Inf Amv
2. O GAC argumenta que 30 espingardas já estao cauteladas. 
3. Verificar com a RM se esse 30 estão no Plj de Distr ao 2º B Sup ou se haverá necessidade de Distr dos outros 5 combinados"	"3244-E-4/EMG/Cmdo Bda Inf Amv

3460-E-4/EMG/Cmdo Bda Inf Amv"	-
396-COL/22º B Log Amv	Estudo para aquisição de Viatura de Salvamento	17 mar.	-121	ST Valter	ACOMPANHAR	Cl IX		"1. Verificar com o B Log o se onde essa Vtr se enquadra no QDMP e se há espaço para Rec dessa Vtr Sol
2. Confeccionar Doc ao Esc Sp encaminhado o estudo"		
476-Fisc Adm/22º B Log Amv	Guias de transferência para apropriação do valor patrimonial	17 mar.	-121	ST Valter	ACOMPANHAR	Cl IX		"1. Verificar com as OMDS se os itens foram recebidos e com a Base sobre a apropriação patrimonial
2. Confeccionar Doc para as OMDS"		-
1015-E4/2ª DE	Cl V (A) - Levantamento da necessidade de Mrt 60mm	18 mar.	-120	ST Richardson	RESOLVIDO	Cl V		Necessidades de Mrt 60mm de suas OM, no intuito de completar as dotações previstas em QDMP 	2075-E-4/EMG/Cmdo Bda Inf Amv	2271-E-4/EMG/Cmdo Bda Inf Amv
"231-SCpc/DME
 719-E4/2ª DE"	Visita de Orientação Técnica (VOT) do Diretor de Material de Engenharia no 2º BE Cmb,11ª Cia E Cmb Mec, 12ª Cia E Cmb L e AGSP	18 mar.	-120	Maj Filipe	RESOLVIDO	-		"RELATÓRIO DA VISITA
- Sol relação de material de mergulho para descentralização de Recurso (R$ 14.000,00)
- ⁠Especialização das Atv de Eng em Pindamonhangaba (12 Cia com mergulho)
- ⁠Sol de recurso para material de sapador
- ⁠Sol a devolução IAB do AGR para a 12 Cia
- ⁠Sol o trator multiuso"	-	-
1085-E4/2ª DE	OS Nº16 - E3/ CMSE - EXPOSIÇÃO DO EXÉRCITO EXPOEX - 2026	18 mar.	-120	Maj Filipe	RESOLVIDO	MEM		1. Info Dados dos oficiais responsáveis pelas oficinas previstas	-	2289-E-4/EMG/Cmdo Bda Inf Amv
1090-E3/E5/2ª DE	Necessidades recursos corpo funcional Curso de Formação de Condutores (2º B Log e 22º B Log Amv)	18 mar.	-120	ST Valter	ACOMPANHAR	Orçamentário		Documento que responde ao DIEx 345-CF Cond/4ª Seç Btl/22º B Log Amv		
 967-S4/EM/20º GAC Amv	solicitação de prancha para transporte de obuseiro para o EBCA	19 mar.	-119	ST Valter	RESOLVIDO	Trnp		1. apoio de 01 (uma) prancha com a 2ª Cia Trnp para transportar um obuseiro em apoio ao Estágio BásicoCombatente Aeromóvel 	-	2359-E-4/EMG/Cmdo Bda Inf Amv
1259-E4/2ª DE	Especificações Técnicas dos Uniformes Básicos - DIVULGAÇÃO	19 mar.	-119	ST Valter	RESOLVIDO	Cl II		1. Divulgação das especificações técnicas dos uniformes básicos da Força Terrestre	2364-E-4/EMG/Cmdo Bda Inf Amv	-
 1081-E4/2ª DE	atividades alusivas à Tomada de Monte Castelo e Tomada de Montese no CML -Informação sobre combustíve	19 mar.	-119	ST Richardson	RESOLVIDO	Cl III - Comb		"1. necessidades de combustível de maneira detalhada, especificando a quantidade,o tipo de combustível e o respectivo posto de abastecimento (PA), conforme modelo constanteno DIEx nº 2886-LOG_OP/E4/CML, anexo, solicitado por aquele C Mil A.

2. Sol os 475 L OD Sol  - DIEx"	-	"2352-E-4/EMG/Cmdo Bda Inf Amv

1437-E-4/EMG/Cmdo Bda Inf Amv"
1509-4ª Seç/CMSE	reunião de prontidão logística das OMDS/CMSE e OM Ap Log	19 mar.	-119	Maj Filipe	RESOLVIDO	PREPARO F TER		-	-	-
323-S/4/CMDO	apoio com combustível para formatura realizada na 1ª DE	19 mar.	-119	ST Richardson	RESOLVIDO	Cl III - Comb		"1. Info que foi Sol o Comb à 1ª DE e ainda não foi recebido no DIEx 1437-E-4/EMG/Cmdo Bda Inf Amv

Rlz outros remanejamentos"	-	1437-E-4/EMG/Cmdo Bda Inf Amv
1237-E10/2ª DE	orientação sobre solicitações extraordinárias de recursos direcionadas à Chefia de Suprimento	19 mar.	-119	Maj Filipe	RESOLVIDO	Orçamentário			2363-E-4/EMG/Cmdo Bda Inf Amv	-
1128-E4/2ª DE	solicitação de MEM para manutenção	19 mar.	-119	ST Richardson	Missão Cmt Bda	Cl V		"1. disponibilidade do BMSA para realizar a manutenção dosseguintes MEM:a. 50 (cinquenta) aparelhos de pontaria M12; e     b. 200 (duzentos) exemplares de mira holográfica HDS. 
2. Confeccionado  DIEx
2.1 Confeccionado outro DIEx 
3. Após as respostas confeccionar Doc para a 2ª DE

- 20º GAC 5 lunetas M12 e 5 suportes
- 1º ESQD possui necessidade de 1 Mira Holográfica
- 6º BI Amv  51 unidades de Mira Holográfica HDS 
- 2º BI Amv - diversas necessidades"	"2162-E-4/EMG/Cmdo Bda Inf Amv

2423-E-4/EMG/Cmdo Bda Inf Amv

2761-E4/2ª DE"	3051-E-4/EMG/Cmdo Bda Inf Amv
918-FISC/DA/BASE ADM	Solicitação de indenização de transporte de bagagem na mesma Sede (3° Sgt Feliciano) - 20º GAC Amv	20 mar.	-118	Ten Glauco	RESOLVIDO	Orçamentário		1. Confeccionado Doc à 2ª DE e 2ª RM	-	2430-E-4/EMG/Cmdo Bda Inf Amv
878-DA/5º BIL	Indenização de Transporte de Bagagem na mesma sede - 2º SGT AMARAL (SOLICITA)	20 mar.	-118	Ten Glauco	RESOLVIDO	Orçamentário		"1. Confeccionado Doc à 2ª DE e 2ª RM
2. A 2ª RM encaminhou o DIEx 5517-STA/DivApAdm/2ªRM, Info que não foram enviado os anexos"	-	2431-E-4/EMG/Cmdo Bda Inf Amv
1296-Seç Sup Cl II/COS/2º B Sup	Cl II - Remessa de TREM 40/2026- 2° B SUP - GR 17/2025	20 mar.	-118	ST Valter	RESOLVIDO	Cl II		1. foram recebidos 10 coletes e 10 placas redutoras de impacto do Cmdo Bda	-	-
5119-Div Armt/CMat/COLOG	Div Armt - Ordem de Fornecimento Nº 011 - do BMSA (OP) para o 1º Esqd C Amv - ODFNº 011	20 mar.	-118	ST Richardson	RESOLVIDO	NOVOS MEM		1. Rcb 13 Pst 9mm e 1 Lç Gr	-	-
1599-Fin/CCOp/Cmdo CMO	planejamento de recurso financeiro - Exc Cj PERSEU 2026	20 mar.	-118	Maj Filipe	RESOLVIDO	PREPARO F TER		Diante do exposto, solicita-se o envio do Plano de Trabalho (P Trab) até 20 MAR 26,contemplando o custeio de 1 (um) oficial superior	-	"3306-E-4/EMG/Cmdo Bda Inf Amv

3509-E-4/EMG/Cmdo Bda Inf Amv

2138-Seç Plj / "
"448-Escalão Logístico/2ªRM

4712-E4/2ª DE"	Inspeção Anual de Armamento do Exército (IA2EX/ 2026)	20 mar.	-118	Maj Filipe	RESOLVIDO	Cl V		"1. Confeccionar novo DIEx, cobrando os relatórios

Missões para a Bda: 

1) Planejar a IA2Ex dos MEM Cl V (Armt) nas OM diretamente subordinadas à GU,
conforme previsto em Ordem de Serviço a ser elaborada e emitida pela RM/Gpt Log
enquadrante;
2) Consolidar os Relatórios de Inspeção de MEM Cl V (Armt), encaminhados por suas OM
subordinadas e encaminhar à RM/ Gpt Log para consolidação

262-E-4/EMG/Cmdo Bda Inf Amv
2046-E-4/EMG/Cmdo Bda Inf Amv - cobrando e respostas relacionadas
2224-E-4/EMG/Cmdo Bda Inf Amv

- 6º BI Amv OK
- 12ª Cia Com OK
- 12º Pel PE OK
- 22º B Log Amv - falta SISCOFIS
- 5ª Bia AAAe Amv OK
- 1º Esqd C Amv - ver E2
- 20º GAC -  falta SISCOFIS
- 12ª Cia Eng Cmb Amv - falta SISCOFIS"	-	2478-E-4/EMG/Cmdo Bda Inf Amv
 2178-SSeç Adm e Fin/Seç Log/CCOp	retificação do Plano de Trabalho para o Exc Cnb ARANDÚ - 2026.	20 mar.	-118	Maj Filipe	RESOLVIDO	PREPARO F TER		"1.  Durante a reunião  inicial de planejamento, ocorrida no período 10 a 12 Março, ficouestabelecido que o limite orçamentário para a realização das atividades futuras em2026 (Reconhecimento, Reu Final - Santa Maria/RS, Exc Ter e APA - Argentina) é de 7.300.000,00(sete milhões e trezentos mil reais), tendo em vista que cerca de R$ 200.000,00 (duzentos milreais) já foram descentralizados para as Reu Ini e Reu Pcp (Argentina)

2. Maj Hélio Rlz o P Trab"	-	-
1130-2ª Cia Prec	solicitação de habilitação da 2ª Cia Prec no sistema SISCOFIS - Bda Inf Amv	20 mar.	-118	Maj Filipe	RESOLVIDO	Patrimônio		"1. Confeccionado Doc à 2ª RM
2. Respodido no 5748-Escalão Logístico/2ªRM - "	3257-E-4/EMG/Cmdo Bda Inf Amv	2429-E-4/EMG/Cmdo Bda Inf Amv
1222-E1/2ª DE	LAI - 60143.000929/2026-83 - 1º Esqd C L	20 mar.	-118	Cap Luis Augusto	RESOLVIDO	Desfazimento		"1. Verificar quais os documentos ainda não foram encaminhados por ocasião de respostas anteriores e Sol ao Esqd
2. Doc anteriores respondidos: 1804-E-4/EMG/Cmdo Bda Inf Amv e 1001-E-4/EMG/Cmdo Bda Inf Amv"	-	1804-E-4/EMG/Cmdo Bda Inf Amv 
959-S4/5º BIL	Acesso ao PDR Log	20 mar.	-118	Ten Glauco	RESOLVIDO	Cl IX		1. Confeccionado DIEx sol acesso ao módulo orçamentário SIGELOG do 5º BI Amv	-	2439-E-4/EMG/Cmdo Bda Inf Amv
479-S/4 - FAdm/SCmt/Cmt 2º BI AMV	processo de descarga nº 03/2026 Classe II	20 mar.	-118	Cap Luis Augusto	ACOMPANHAR	Desfazimento		1. Doc já foi direcionado à 2ª RM	-	-
689-E4/2ª DE	Classe V - levantamento de armamento para recolhimento	20 mar.	-118	Cap Luis Augusto	ACOMPANHAR	Desfazimento		"1. Doc encaminhado às OMDS - 
2. Necessita ser respondido pela 2ª Seção
3. Verificar situação atual"	1497-E-4/EMG/Cmdo Bda Inf Amv	2464-E-4/EMG/Cmdo Bda Inf Amv
 1084-E4/2ª DE	descarga de materiais inservíveis e obsoletos (encaminhamento)	20 mar.	-118	Cap Luis Augusto	ACOMPANHAR	Desfazimento		1. Confeccionado Doc às OMDS - 3587-E-4/EMG/Cmdo Bda Inf Amv		
4418-STA/DivApAdm/2ªRM	despesas de Exercício Anterior de MFDV - 2º Ten Leitão - (restituição)	20 mar.	-118	Ten Glauco	ACOMPANHAR	Orçamentário		"1. Confeccionado Doc ao 2º BI Amv e Sol resposta diretamence à RM com cópia à Bda
2. Provavalmente irão entrar em exercício anterior"		
